sample_id,source_image_name,sample_index,foreground_dice,cytoplasm_dice,nucleus_dice,gt_cytoplasm_area,pred_cytoplasm_area,gt_nucleus_area,pred_nucleus_area,n_nucleus_instances,n_cytoplasm_instances,selected_cytoplasm_instance_index,selected_nucleus_instance_index,n_candidate_nuclei_in_crop,crowding_flag,gt_nc_ratio,pred_nc_ratio,abs_error_nc_ratio,interval_lower_nc_ratio,interval_upper_nc_ratio,interval_width_nc_ratio,covered_nc_ratio,gt_circularity,pred_circularity,abs_error_circularity,interval_lower_circularity,interval_upper_circularity,interval_width_circularity,covered_circularity
Cx22-Multi-Test:000001,00477,0,0.2766891597568423,0.36681769405031595,0.1865606254633686,52812,114928,2885,11952,18,18,13,11,1,False,0.054627736120578654,0.10399554503689266,0.04936780891631401,0.0,0.6029411091455807,0.6029411091455807,True,0.5638437349025538,0.5845731499941533,0.020729415091599535,0.33215153563945976,0.8369947643488469,0.5048432287093871,True
Cx22-Multi-Test:000002,00478,1,0.3170014746518742,0.5156214726565661,0.11838147664718233,78117,156656,1685,15936,8,8,6,5,3,True,0.021570208789380034,0.10172607496680625,0.0801558661774262,0.0,0.6006716390754943,0.6006716390754943,True,0.821278618147331,0.26024502281981704,0.5610335953275141,0.007823408465123471,0.5126666371745106,0.5048432287093871,False
Cx22-Multi-Test:000003,00478,2,0.360255061073248,0.3861686319072879,0.3343414902392081,91153,126208,2485,1152,10,10,8,1,1,False,0.0272618564391737,0.009127789046653144,0.018134067392520554,0.0,0.5080733531553412,0.5080733531553412,True,0.8199172613419148,0.6215747899401162,0.19834247140179861,0.3691531755854226,0.8739964042948097,0.5048432287093871,True
Cx22-Multi-Test:000004,00478,3,0.3364638042678195,0.4807534941573107,0.19217411437832832,80088,164320,1806,6832,9,9,3,1,2,True,0.02255019478573569,0.04157740993184031,0.019027215146104618,0.0,0.5405229740405284,0.5405229740405284,True,0.8044824129260384,0.5200507272574918,0.2844316856685466,0.2676291129027982,0.7724723416121854,0.5048432287093871,False
Cx22-Multi-Test:000005,00479,4,0.21625967811149663,0.37107222001250073,0.06144713621049254,79108,132080,3698,8768,11,11,6,1,1,False,0.04674622035698033,0.0663840096910963,0.019637789334115967,0.0,0.5653295737997843,0.5653295737997843,True,0.779722745987526,0.5773684006146547,0.20235434537287134,0.3249467862599611,0.8297900149693482,0.5048432287093871,True
Cx22-Multi-Test:000006,00480,5,0.22353749797953504,0.41036185347907667,0.036713142479993396,112303,104608,1796,46688,16,16,10,11,2,True,0.01599244899958149,0.44631385744876106,0.4303214084491796,0.0,0.9452594215574491,0.9452594215574491,True,0.7214131378627514,0.33952536896829977,0.38188776889445164,0.0871037546136062,0.5919469833229933,0.5048432287093871,False
Cx22-Multi-Test:000007,00480,6,0.07475398043496614,0.1219409854690758,0.027566975400856487,90191,64720,1549,48656,14,14,6,7,3,True,0.017174662660354136,0.7517923362175525,0.7346176735571983,0.2528467721088644,1.2507379003262407,0.9978911282173762,False,0.7926648445718087,0.27296706921597735,0.5196977753558314,0.020545454861283785,0.5253886835706709,0.5048432287093871,False
Cx22-Multi-Test:000008,00482,7,0.25803086946396503,0.3683417646183604,0.14771997430956968,66256,148816,2428,16256,7,7,2,2,4,True,0.036645737744506156,0.10923556606816472,0.07258982832365857,0.0,0.6081811301768528,0.6081811301768528,True,0.7666222973913192,0.3502021273072553,0.41642017008406385,0.09778051295256174,0.6026237416619489,0.5048432287093871,False
Cx22-Multi-Test:000009,00483,8,0.11364344294520916,0.16609802297359139,0.06118886291682694,73353,99280,2741,31056,15,15,7,5,4,True,0.03736725150982237,0.31281224818694603,0.27544499667712363,0.0,0.8117578122956342,0.8117578122956342,True,0.847704555691617,0.18894967581738722,0.6587548798742298,0.0,0.44137129017208077,0.44137129017208077,False
Cx22-Multi-Test:000010,00485,9,0.23017700459954848,0.3433040817079016,0.11704992749119536,69112,147856,2332,16976,11,11,0,1,2,True,0.03374233128834356,0.11481441402445623,0.08107208273611267,0.0,0.6137599781331443,0.6137599781331443,True,0.8277517863909837,0.6172007146539763,0.21055107173700738,0.36477910029928273,0.8696223290086699,0.5048432287093871,True
Cx22-Multi-Test:000011,00485,10,0.3888437292152713,0.5134966637460403,0.26419079468450235,75488,161904,2115,9248,7,7,1,0,2,True,0.028017698177193726,0.057120268801264945,0.02910257062407122,0.0,0.556065832909953,0.556065832909953,True,0.7689812734285311,0.5423315729700294,0.22664970045850164,0.28990995861533586,0.794753187324723,0.5048432287093871,True
Cx22-Multi-Test:000012,00487,11,0.18910828353646755,0.22153453942316553,0.15668202764976957,25476,104752,656,2816,8,8,2,3,1,False,0.025749725231590515,0.026882541622117,0.0011328163905264844,0.0,0.5258281057308051,0.5258281057308051,True,0.7848187486957009,0.5544447126265837,0.23037403606911722,0.3020230982718901,0.8068663269812772,0.5048432287093871,True
Cx22-Multi-Test:000013,00488,12,0.4582600369608729,0.33219804002344083,0.5843220338983051,37133,135216,2880,1840,7,7,0,2,1,False,0.07755904451565993,0.013607857058336292,0.06395118745732363,0.0,0.5125534211670244,0.5125534211670244,True,0.7938070472683312,0.5493896075606479,0.24441743970768326,0.29696799320595435,0.8018112219153415,0.5048432287093871,True
Cx22-Multi-Test:000014,00488,13,0.24477213904877765,0.2581478758715944,0.23139640222596092,38484,141072,3071,4656,11,11,4,4,2,True,0.07979939715206319,0.033004423273222186,0.046794973878841004,0.0,0.5319499873819102,0.5319499873819102,True,0.839906714954151,0.4583239543157603,0.38158276063839075,0.20590233996106672,0.7107455686704538,0.5048432287093871,False
Cx22-Multi-Test:000015,00489,14,0.15414667171808624,0.20373277018349933,0.10456057325267316,76758,133488,3949,40848,9,9,3,3,2,True,0.05144740613356263,0.30600503416037395,0.2545576280268113,0.0,0.804950598269062,0.804950598269062,True,0.8801945438891062,0.4562812199755817,0.42391332391352454,0.20385960562088812,0.7087028343302753,0.5048432287093871,False
Cx22-Multi-Test:000016,00489,15,0.3364265099377085,0.38828108359312974,0.2845719362822872,47729,107200,3389,12368,11,11,8,8,2,True,0.07100504934107146,0.1153731343283582,0.04436808498728674,0.0,0.6143186984370462,0.6143186984370462,True,0.813568255535554,0.5481532845343193,0.2654149710012347,0.29573167017962576,0.8005748988890129,0.5048432287093871,False
Cx22-Multi-Test:000017,00490,16,0.11482680046904603,0.17548754227765137,0.054166058660440684,52139,128512,1801,32464,13,13,9,2,1,False,0.03454228120984292,0.25261454183266935,0.21807226062282642,0.0,0.7515601059413575,0.7515601059413575,True,0.8336534779425124,0.2833929405414387,0.5502605374010737,0.03097132618674514,0.5358145548961323,0.5048432287093871,False
Cx22-Multi-Test:000018,00490,17,0.21605949092648352,0.2767908662599508,0.15532811559301626,41911,136592,3006,6960,7,7,0,3,1,False,0.07172341390088521,0.050954667916129785,0.020768745984755428,0.0,0.5499002320248179,0.5499002320248179,True,0.8134045115590424,0.4364964227370941,0.37690808882194826,0.18407480838240053,0.6889180370917877,0.5048432287093871,False
Cx22-Multi-Test:000019,00491,18,0.21481957329449416,0.3465453227402306,0.08309382384875774,134830,69328,4066,27248,13,13,7,5,3,True,0.03015649336201142,0.39303023309485347,0.36287373973284204,0.0,0.8919757972035416,0.8919757972035416,True,0.8431219853863889,0.3256420480964406,0.5174799372899483,0.07322043374174703,0.5780636624511342,0.5048432287093871,False
Cx22-Multi-Test:000020,00492,19,0.2664754199603105,0.4085178631009448,0.12443297681967623,101221,135552,3853,20176,16,16,4,4,4,True,0.03806522361960463,0.14884324834749765,0.11077802472789303,0.0,0.6477888124561857,0.6477888124561857,True,0.8178947140399274,0.3077029296272036,0.5101917844127238,0.05528131527251001,0.5601245439818971,0.5048432287093871,False
Cx22-Multi-Test:000021,00493,20,0.13304698716221922,0.18853417506744827,0.07755979925699016,35785,95056,1087,14256,11,11,5,2,1,False,0.0303758558055051,0.14997475172529878,0.11959889591979368,0.0,0.6489203158339869,0.6489203158339869,True,0.799840326719127,0.26527411179706895,0.534566214922058,0.012852497442375377,0.5176957261517625,0.5048432287093871,False
Cx22-Multi-Test:000022,00493,21,0.23246489715660915,0.2553297943132183,0.2096,41131,158736,1446,2304,9,9,5,4,1,False,0.03515596508716053,0.01451466586029634,0.020641299226864192,0.0,0.5134602299689844,0.5134602299689844,True,0.8197967961492821,0.4414364440939313,0.37836035205535085,0.18901482973923772,0.6938580584486249,0.5048432287093871,False
Cx22-Multi-Test:000023,00494,22,0.08735272265296674,0.13595149253731342,0.038753952768620065,22944,84256,575,14288,14,14,7,7,1,False,0.025061018131101814,0.1695784276490695,0.14451740951796768,0.0,0.6685239917577576,0.6685239917577576,True,0.8624193694501281,0.27176524298428656,0.5906541264658416,0.01934362862959299,0.5241868573389801,0.5048432287093871,False
Cx22-Multi-Test:000024,00496,23,0.2353529335952664,0.46059797394805696,0.010107893242475866,84515,126832,1850,15760,8,8,2,4,2,True,0.021889605395491923,0.12425886211681594,0.10236925672132402,0.0,0.623204426225504,0.623204426225504,True,0.8148802204805685,0.3722795857914045,0.442600634689164,0.11985797143671095,0.6247012001460981,0.5048432287093871,False
Cx22-Multi-Test:000025,00497,24,0.19820408442682308,0.29395514758662694,0.10245302126701925,71604,112288,3484,32064,6,6,5,5,2,True,0.048656499636891795,0.2855514391564548,0.23689493951956303,0.0,0.7844970032651428,0.7844970032651428,True,0.8007279838022673,0.5482223455424486,0.25250563825981864,0.2958007311877551,0.8006439598971422,0.5048432287093871,False
Cx22-Multi-Test:000026,00498,25,0.1993493130864918,0.3696447943562968,0.029053831816686766,58523,99104,1044,35440,20,20,2,2,1,False,0.017839140167113784,0.3576041330319664,0.3397649928648526,0.0,0.8565496971406545,0.8565496971406545,True,0.7705759879205338,0.43594550536250026,0.33463048255803357,0.1835238910078067,0.6883671197171939,0.5048432287093871,False
Cx22-Multi-Test:000027,00499,26,0.2587624851069693,0.4642752704942002,0.05324969971973842,80108,125072,2762,12224,13,13,7,7,4,True,0.03447845408698257,0.09773570423436101,0.06325725014737843,0.0,0.5966812683430491,0.5966812683430491,True,0.8846379269719872,0.28622052797718844,0.5984173989947987,0.033798913622494875,0.538642142331882,0.5048432287093871,False
Cx22-Multi-Test:000028,00500,27,0.15840713930914357,0.24491836224617314,0.07189591637211401,56225,139824,1185,12112,15,15,14,14,3,True,0.021076033792796798,0.08662318343059847,0.06554714963780167,0.0,0.5855687475392866,0.5855687475392866,True,0.8444240391665379,0.5649618380403586,0.27946220112617925,0.31254022368566503,0.8173834523950522,0.5048432287093871,False
Cx22-Multi-Test:000029,00501,28,0.11906949324505679,0.18085690744301017,0.05728207904710341,38292,151040,790,17680,5,5,2,1,1,False,0.020630941188760053,0.1170550847457627,0.09642414355700266,0.0,0.6160006488544507,0.6160006488544507,True,0.7761923967365711,0.5006355793846718,0.2755568173518993,0.24821396502997828,0.7530571937393654,0.5048432287093871,False
Cx22-Multi-Test:000030,00501,29,0.16434392109544388,0.15339409814515895,0.1752937440457288,15635,87824,637,2512,5,5,2,0,1,False,0.040741925167892545,0.028602659865184916,0.01213926530270763,0.0,0.527548223973873,0.527548223973873,True,0.8379101582608609,0.22023672377475653,0.6176734344861043,0.0,0.47265833812945013,0.47265833812945013,False
Cx22-Multi-Test:000031,00502,30,0.30998477255958823,0.4579402970280673,0.1620292480911091,81828,160304,5055,2672,11,11,8,8,2,True,0.06177592022290659,0.016668330172671924,0.04510759005023467,0.0,0.51561389428136,0.51561389428136,True,0.7762443400803074,0.5522485511912463,0.22399578888906113,0.2998269368365527,0.8046701655459398,0.5048432287093871,True
Cx22-Multi-Test:000032,00502,31,0.14782555308606152,0.16567763137106203,0.129973474801061,35867,122368,1830,18528,7,7,2,2,2,True,0.051021830652131485,0.15141213389121339,0.10039030323908191,0.0,0.6503576979999015,0.6503576979999015,True,0.7924928961922804,0.5118142733972332,0.2806786227950472,0.2593926590425396,0.7642358877519267,0.5048432287093871,False
Cx22-Multi-Test:000033,00503,32,0.22437361030685,0.2931996296045351,0.1555475910091649,78777,142608,4907,14624,14,14,4,4,3,True,0.06228975462381152,0.1025468416919107,0.040257087068099176,0.0,0.6014924058005988,0.6014924058005988,True,0.8146202957681649,0.3002083423467289,0.514411953421436,0.047786727992035316,0.5526299567014225,0.5048432287093871,False
