sample_id,source_image_name,sample_index,foreground_dice,cytoplasm_dice,nucleus_dice,gt_cytoplasm_area,pred_cytoplasm_area,gt_nucleus_area,pred_nucleus_area,n_nucleus_instances,n_cytoplasm_instances,selected_cytoplasm_instance_index,selected_nucleus_instance_index,n_candidate_nuclei_in_crop,crowding_flag,gt_nc_ratio,pred_nc_ratio,abs_error_nc_ratio,interval_lower_nc_ratio,interval_upper_nc_ratio,interval_width_nc_ratio,covered_nc_ratio,gt_circularity,pred_circularity,abs_error_circularity,interval_lower_circularity,interval_upper_circularity,interval_width_circularity,covered_circularity,protocol,reference_scope,ground_truth_role,cytoplasm_instance_index,nucleus_instance_index,crop_box_xyxy,native_crop_side_px,target_whole_cell_fraction,nucleus_fraction_at_128,cytoplasm_fraction_at_128,whole_cell_fraction_at_128
Cx22-Multi-Test:000001,00477,0,0.2766891597568423,0.36681769405031595,0.1865606254633686,52812,114928,2885,11952,18,18,13,11,1,False,0.054627736120578654,0.10399554503689266,0.04936780891631401,0.0,0.6029411091455807,0.6029411091455807,True,0.5638437349025538,0.5845731499941533,0.020729415091599535,0.33215153563945976,0.8369947643488469,0.5048432287093871,True,raw_bbox,full-frame semantic union,Evaluation-only; no localization crop used.,,,,,,,,
Cx22-Multi-Test:000002,00478,1,0.3170014746518742,0.5156214726565661,0.11838147664718233,78117,156656,1685,15936,8,8,6,5,3,True,0.021570208789380034,0.10172607496680625,0.0801558661774262,0.0,0.6006716390754943,0.6006716390754943,True,0.821278618147331,0.26024502281981704,0.5610335953275141,0.007823408465123471,0.5126666371745106,0.5048432287093871,False,raw_bbox,full-frame semantic union,Evaluation-only; no localization crop used.,,,,,,,,
Cx22-Multi-Test:000003,00478,2,0.360255061073248,0.3861686319072879,0.3343414902392081,91153,126208,2485,1152,10,10,8,1,1,False,0.0272618564391737,0.009127789046653144,0.018134067392520554,0.0,0.5080733531553412,0.5080733531553412,True,0.8199172613419148,0.6215747899401162,0.19834247140179861,0.3691531755854226,0.8739964042948097,0.5048432287093871,True,raw_bbox,full-frame semantic union,Evaluation-only; no localization crop used.,,,,,,,,
Cx22-Multi-Test:000004,00478,3,0.3364638042678195,0.4807534941573107,0.19217411437832832,80088,164320,1806,6832,9,9,3,1,2,True,0.02255019478573569,0.04157740993184031,0.019027215146104618,0.0,0.5405229740405284,0.5405229740405284,True,0.8044824129260384,0.5200507272574918,0.2844316856685466,0.2676291129027982,0.7724723416121854,0.5048432287093871,False,raw_bbox,full-frame semantic union,Evaluation-only; no localization crop used.,,,,,,,,
Cx22-Multi-Test:000005,00479,4,0.21625967811149663,0.37107222001250073,0.06144713621049254,79108,132080,3698,8768,11,11,6,1,1,False,0.04674622035698033,0.0663840096910963,0.019637789334115967,0.0,0.5653295737997843,0.5653295737997843,True,0.779722745987526,0.5773684006146547,0.20235434537287134,0.3249467862599611,0.8297900149693482,0.5048432287093871,True,raw_bbox,full-frame semantic union,Evaluation-only; no localization crop used.,,,,,,,,
Cx22-Multi-Test:000006,00480,5,0.22353749797953504,0.41036185347907667,0.036713142479993396,112303,104608,1796,46688,16,16,10,11,2,True,0.01599244899958149,0.44631385744876106,0.4303214084491796,0.0,0.9452594215574491,0.9452594215574491,True,0.7214131378627514,0.33952536896829977,0.38188776889445164,0.0871037546136062,0.5919469833229933,0.5048432287093871,False,raw_bbox,full-frame semantic union,Evaluation-only; no localization crop used.,,,,,,,,
Cx22-Multi-Test:000007,00480,6,0.07475398043496614,0.1219409854690758,0.027566975400856487,90191,64720,1549,48656,14,14,6,7,3,True,0.017174662660354136,0.7517923362175525,0.7346176735571983,0.2528467721088644,1.2507379003262407,0.9978911282173762,False,0.7926648445718087,0.27296706921597735,0.5196977753558314,0.020545454861283785,0.5253886835706709,0.5048432287093871,False,raw_bbox,full-frame semantic union,Evaluation-only; no localization crop used.,,,,,,,,
Cx22-Multi-Test:000008,00482,7,0.25803086946396503,0.3683417646183604,0.14771997430956968,66256,148816,2428,16256,7,7,2,2,4,True,0.036645737744506156,0.10923556606816472,0.07258982832365857,0.0,0.6081811301768528,0.6081811301768528,True,0.7666222973913192,0.3502021273072553,0.41642017008406385,0.09778051295256174,0.6026237416619489,0.5048432287093871,False,raw_bbox,full-frame semantic union,Evaluation-only; no localization crop used.,,,,,,,,
Cx22-Multi-Test:000009,00483,8,0.11364344294520916,0.16609802297359139,0.06118886291682694,73353,99280,2741,31056,15,15,7,5,4,True,0.03736725150982237,0.31281224818694603,0.27544499667712363,0.0,0.8117578122956342,0.8117578122956342,True,0.847704555691617,0.18894967581738722,0.6587548798742298,0.0,0.44137129017208077,0.44137129017208077,False,raw_bbox,full-frame semantic union,Evaluation-only; no localization crop used.,,,,,,,,
Cx22-Multi-Test:000010,00485,9,0.23017700459954848,0.3433040817079016,0.11704992749119536,69112,147856,2332,16976,11,11,0,1,2,True,0.03374233128834356,0.11481441402445623,0.08107208273611267,0.0,0.6137599781331443,0.6137599781331443,True,0.8277517863909837,0.6172007146539763,0.21055107173700738,0.36477910029928273,0.8696223290086699,0.5048432287093871,True,raw_bbox,full-frame semantic union,Evaluation-only; no localization crop used.,,,,,,,,
